Last Name,First Name,The cancellation of the majority of programs run by the US Agency for International Development (USAID) will have no measurable effects on GDP growth in the recipient countries over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The cancellation of the majority of USAID programs will have substantially negative effects on the most vulnerable people in the recipient countries over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Development assistance motivated by the potential benefits for the donors in terms of prosperity and security is measurably more effective in promoting GDP growth in recipient countries than aid based on humanitarian or other moral principles.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,reindex
Samuelson,Larry,Uncertain,1,"USAID was tiny compared to the economies involved, and so the effects of its cancellation may be difficult to detect.",Agree,8,"USAID was targeted at the most vulnerable, who have little other recourse.",Disagree,4,"It is difficult to say what the effect of aid, motivated by security benefits to donors, will have on recipients.",
Scheinkman,Jos̩,Disagree,7,"Certainly for countries such as South Sudan, Somalia or DRC where USAID financing represented multiple percentage points of GNI.",Strongly Agree,8,,Uncertain,1,,
Schmalensee,Richard,Agree,3,,Agree,5,,Uncertain,5,,
Scott Morton,Fiona,Uncertain,1,,Agree,9,,Uncertain,1,,
Shapiro,Carl,Strongly Disagree,8,,Strongly Agree,10,,Disagree,3,,
Shimer,Robert,Uncertain,5,,Agree,5,Notably ending programs like PEPFAR,Uncertain,1,,
Stantcheva,Stefanie,Disagree,6,,Agree,7,,Uncertain,7,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Stokey,Nancy,Agree,3,,Strongly Agree,8,,Disagree,3,,
Syverson,Chad,Disagree,7,"Didn't know any of the numbers here, so I looked up one country off the top of my head, Liberia. Received about $150m in U.S. aid in 2023. GDP that year was $4.24B, so aid was 3.5%. Loosing that seems enough to measurably affect growth.",Agree,8,See analysis for prior question.,Uncertain,7,Too much elasticity of meaning in those words to say anything definitive.,
Thaler,Richard,Strongly Disagree,7,,Strongly Agree,10,,Strongly Disagree,1,A contender for most poorly worded question in recent history  ,
Udry,Christopher,Uncertain,1,"It is very difficult to estimate the casual effect of USAID on country level growth. But the immediate macro effects will be negative, and the long term consequences likely to be significant. ",Strongly Agree,10,"There is strong evidence that many specific USAID programs in health, education, and social protection are highly effective, and that their withdrawal will have have string negative effects on the well-being of the poor.  . ",Disagree,2,I don't know of any convincing evidence of this. ,
Werning,Ivan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
