Last Name,First Name,A comprehensive policy response to the coronavirus will involve tolerating a very large contraction in economic activity until the spread of infections has dropped significantly.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Abandoning severe lockdowns at a time when the likelihood of a resurgence in infections remains high will lead to greater total economic damage than sustaining the lockdowns to eliminate the resurgence risk.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Optimally, the government would invest more than it is currently doing in expanding treatment capacity through steps such as building temporary hospitals, accelerating testing, making more masks and ventilators, and providing financial incentives for the production of a successful vaccine.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Deaton,Angus,Strongly Agree,7,"We don't quite know how bad it will be, or exactly what ""very large"" means. But spirit is right.",Strongly Agree,7,,Strongly Agree,8,
Duffie,Darrell,Strongly Agree,5,The reduction in business activity is necessary in order to prioritize human life.,Strongly Agree,5,The epidemiology studies imply severe economic damage in the form of additional loss of human life (to which I assign high economic damage.),Strongly Agree,5,"Lift the suppression cap implied by medical resources, to speed recovery. (See Eichenbaum et al.)"
Edlin,Aaron,Agree,7,We need a lock down and random testing until we know either A.  that the virus is under control or B. that mortality is low,Strongly Agree,8,This is obvious to everyone except Trump.  Possibly to Trump as well. ,Strongly Agree,10,Obvious.  But compare the spending in the stimulus package on these necessities vs. stimulus that spreads virus.
Eichengreen,Barry,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Einav,Liran,Agree,1,,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Agree,1,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Uncertain,5,We need to know the true infection and asymptomatic rates before deciding on local lockdowns.,Uncertain,4,"Again, it depends on what the true infection rate is (by locality). If everyone is already infected, lockdowns will not make a difference.",Strongly Agree,8,
Goolsbee,Austan,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,9,
Greenstone,Michael,Agree,7,quibble is that the contraction isn't only due to policy but also to changes in behavior that people are doing anyway,Strongly Agree,8,taking available epi models at face value suggests there are large welfare/economic benefits to social distancing/slowing spread of COVID-19,Strongly Agree,8,ROI on these activities seems very high
Hall,Robert,Uncertain,2,"As of today, that seems right. Had we been as well governed as Singapore, maybe not so expensive.",Agree,3,"If lockdowns were a good idea, keeping them is probably also a good idea.",Agree,7,"The failure of executive leadership in government, especially the White House, is tragic."
Hart,Oliver,Strongly Agree,7,,Agree,6,,Strongly Agree,10,
Holmström,Bengt,Strongly Agree,6,Economic activity already down and will hardly pick up until pandemic under control and fear abates.,Strongly Agree,7,Crazy to give up fight now when worst still ahead.,Strongly Agree,8,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Judd,Kenneth,Agree,6,"Yes, there will be a ""very large"" contraction, but with a short duration, hopefully just several weeks.",Agree,7,"I would say ""could lead"" instead of ""will lead"". One should never say ""will"". The focus has to be on rational risk assessments.",Strongly Agree,8,"Absolutely! Hard to imagine overspending on vaccine development, given likely spillovers to future work. URL below looks at other issues."
Kaplan,Steven,Agree,7,,Agree,4,,Agree,5,
Kashyap,Anil,Strongly Agree,10,slowing the disease spread requires social distancing and less labor supply -- we don't want to fully offset this. ,Agree,5,"i am not an epidemiologist, but everything i read suggests that premature cessation will backfire -- see Andy Atkeson's analysis",Strongly Agree,7,sad that we are so far behind on some of this basic blocking and tackling. see team stanford for an interesting take
