Last Name,First Name,"Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Kaplan,Steven,Agree,4,,Agree,8,,Agree,2,
Kashyap,Anil,Agree,3,Based on asking a few people what they thought a basic principles book costs.  Most shocked to learn it is well over $200,Uncertain,5,"These factors help, but some students would like to be able to keep their books and that cost is much higher now",No Opinion,,"I don't have a good story for where the market failure or market power comes from, but the relative price has gone way up."
Klenow,Pete,Agree,5,,Agree,3,But new editions undermine this.,Strongly Disagree,5,
Levin,Jonathan,Agree,4,,Agree,6,,Agree,1,
Maskin,Eric,No Opinion,,,Agree,5,,No Opinion,,
Nordhaus,William,Agree,8,,Strongly Agree,9,,Disagree,8,Text prices include bundled ancillaries which students pay for but are benefits for teachers.
Saez,Emmanuel,Uncertain,4,,Disagree,3,,Strongly Disagree,6,
Samuelson,Larry,Strongly Agree,8,,Agree,8,"The net burden is lower than the retail price, but still scandalously high.",Disagree,10,There are too many imperfections and frictions in this market to model it simply in terms of demand and supply.
Scheinkman,José,No Opinion,,,Agree,6,,Uncertain,4,
Schmalensee,Richard,Agree,5,"Seems right to me, but only based on my own experience.",Uncertain,4,"""Substantially"" depends on those markets having few frictions, and I have no idea if that is the case.",Disagree,3,
Shapiro,Carl,Agree,7,,Agree,8,,Agree,8,"Surely the prices reflect supply and demand, but not nearly so well as they would without the agency issues identified in the question."
Shimer,Robert,Agree,4,,Agree,5,It would be useful to know what fraction of books are rented or resold.,Agree,7,"But demand may be quite inelastic, since once a book is selected for a course, there are no substitutes."
Thaler,Richard,Uncertain,1,Need data to answer.,Uncertain,1,,Disagree,4,When the chooser is not the user then bad outcomes are common.  My views are captured here: http://bit.ly/1Cql4mR
Udry,Christopher,Agree,3,"Since we have begun putting prices on our syllabi, it's become more likely that we would pass this test.",Strongly Agree,7,"See Chevalier, Judith, and Austan Goolsbee. ""Are durable goods consumers forward-looking? Evidence from college textbooks.""",Uncertain,1,Difficult to interpret this question.
