Last Name,First Name,The collapse of a major crypto intermediary will have little impact on the wider economy and the stability of the traditional financial system.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The collapse of a major crypto intermediary suggests the need for the crypto asset class to be more tightly regulated.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Kuhnen,Camelia,Strongly Agree,5,,Agree,5,
Lo,Andrew,Strongly Agree,10,"Crypto is largely distinct from most of the traditional financial system and although the collapse of FTX has unfortunate consequences for a number of investors, their losses are unlikely to trigger any type of threat to financial stability.",Strongly Agree,10,"FTX is just one illustration that there is a need for regulatory oversight, primarily related to disclosure of the risks involved in these investments."
Lowry,Michelle,Agree,6,"At this point, crypto represents a reasonably small fraction of the world economy and it is not tightly integrated into traditional finance channels. This of course could change in the future",Strongly Agree,7,"Regulation can increase trust in an asset class, as fraud decreases. The decrease in expected fraud can engender further growth in the asset class. Historical examples abound."
Ludvigson,Sydney,Disagree,5,"so far not especially interconnected, but that could change down the road",Uncertain,8,
Maggiori,Matteo,Agree,2,"At the current scale and level of usage, crypto does not seem systematic enough to cause major issues to the wider financial system. But my level of uncertainty is high since I am not an expert on the issue and have not seen a detailed data analysis.",Strongly Agree,10,"I do not think it is the collapse per se (even under optimal regulation one might still want some collapses to occur), but the reasons for the collapse that point to the need for tighter regulation."
Matvos,Gregor,Agree,6,"Crypto does not interact with the wider economy directly. Current data and events suggest that the traditional financial system is not very exposed to crypto either, although one always worries about hidden linkages.",Uncertain,5,Depends on the type and implementation of regulation. Existing regulations already cover crypto to some degree (e.g. fraud). Tighter regulation may make crypto more systemic by tying it closer to the traditional financial system. It may also increase chances of crypto bailouts.
Moskowitz,Tobias,Strongly Agree,8,"Not enough transactions occur yet through crypto currency IMHO to make a serious impact, and with viable substitutes for transacting I don't expect much impact from this event.",Agree,9,"I don't know about the ""need"" but I am willing to bet that regulation will happen."
Nagel,Stefan,Agree,8,,Agree,8,"Participants in this space are learning that absence of supervision and regulation means that scammers are running the show. If anything in this sector survives, it will be under some form of tighter regulation. "
Parker,Jonathan,Strongly Agree,9,"Cryptocurrency deposits are not used to fund loans on which business and people depend. There are no effects on the real economy beyond the layoffs from the firms in question, like if a casino were to go bankrupt.",Uncertain,8,"On the one hand, don't regulate and let crypto intermediaries continue to fail, as most have been doing. On the other hand, ban them because they serve no economic purpose: the entire value proposition of crypto is regulation-free, institution-free, blockchain-based money. "
Parlour,Christine,Agree,9,"Institutional adoption of crypto is still limited, therefore there is little chance of contagion.  I note that retail investors may lose substantial amounts.",Uncertain,9,"Intermediaries, irrespective of what they intermediate, should have oversight — either internal boards or regulation.  "
Philippon,Thomas,Agree,7,,Uncertain,3,
Puri,Manju,Agree,7,,Strongly Agree,8,
Roberts,Michael,Agree,9,The scale of crypto is too small to affect the stability of the financial system.,Agree,8,Small investors are getting harmed. Appropriate regulation would mitigate these and other problems.
Sapienza,Paola,Agree,5,"So far so good, as long as the breach of trust does not extend to more exchanges/products affecting much larger base of investors. ",Agree,8,"FTX offered deposits. It seems that FTX was transferring to Alameda some deposits with no knowledge of the clients. The product was accessible widely. Of course, this should be a regulated product. Unclear yet how much they circumvented regulation  (fraud) or it was permissible. "
Seru,Amit,Agree,7,"For now. What’s stopping large intermediaries and non-banks from taking a position? There could be broader effects if that occurs, though not large enough relative to big banks. ",Uncertain,7,Need to spell out the need for regulation and how it will be done. For retail consumers? Who is investing in these assets? Aren’t buyers beware? Which regulator will do the regulation and how (across border)? Are we keeping the balance between adequate innovation vs. regulation?
Stambaugh,Robert,Agree,8,,Agree,9,Yet to see how cryptocurrencies provide a net benefit to society.
Starks,Laura,Agree,5,,Uncertain,4,"It is not clear why the collapse of an offshore exchange should imply regulation of the underlying asset, nor is it clear how such regulation would work."
Stein,Jeremy,Uncertain,5,,Uncertain,5,
Stroebel,Johannes,Uncertain,6,I don't think we know enough about the exposure of various financial market participants to these exchanges. ,Strongly Agree,8,https://pacer-documents.s3.amazonaws.com/33/188450/042020648197.pdf
Sufi,Amir,Uncertain,8,"Given opacity of the crypto universe, I am not sure who is exposed.",Agree,6,"An institution claiming to intermediate or issue a type of ""money"" can be dangerous, and unfortunately private sector actors have not proven willing or able to discipline such intermediaries."
Titman,Sheridan,Agree,5,,Uncertain,6,
Van Nieuwerburgh,Stijn,Agree,7,"FTX had about $16 bi in client assets, which is like a medium-sized bank. The system can withstand a bank run of this size. Wider damage to crypto eco-system may ensue, but the entanglement with the broader levered financial sector seems contained.",Strongly Agree,6,"The lack of corporate controls, auditing, and regulatory oversight in the case of FTX was stunning. Many retail investors, who placed their money and trust in the system, have lost substantial sums. More regulation is needed to offer basic investor protection."
Werner,Ingrid,Agree,8,,No Opinion,,
Whited,Toni,Uncertain,1,,Uncertain,1,
