Last Name,First Name,"All else equal, permanently raising the federal marginal tax rate on ordinary income by 1 percentage point for those in the top (i.e., currently 35%) tax bracket would increase federal tax revenue over the next 10 years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The cumulative budget shortfalls in the US over the next 10 years can be reduced by half (or more) purely by increasing the federal marginal tax rate on ordinary income for those in the top tax bracket.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Goldin,Claudia,Agree,2,There are some good estimates showing that higher taxes at the top nets more income.  Labor SS response is low as is falsification of income,Uncertain,2,Don't have any idea if it would be one-half.  That seems rather large.  But if it were true -- let's do it.
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Agree,8,CBO's analysis indicates that the Bush tax cuts reduced revenue so presumably undoing part of this decrease in rates would increase revenue.,Disagree,4,Unknown elasticities and unclear baseline (do other Bush tax cuts expire?  future of Medicaid/Medicaid?) make it very  difficult to evaluate
Hall,Robert,Uncertain,3,"Close call. Depends on enforcement efforts. Prior to 1986, taxpayers in the high bracket seemed to be willing to buy inefficient shelters.",Disagree,5,"There's a CBO-style ""current law"" assumption here that is hard to deal with--does the AMT come back in its old form or continue to be cut?"
Holmström,Bengt,Agree,8,,Disagree,7,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Agree,7,"Some activities will change little, such as labor supply, but some will increase tax avoidance efforts. My guess is a weak revenue increase.",Strongly Disagree,9,"The rich don't have that much money, and would respond with substantial increases in tax avoidance activities."
Kashyap,Anil,Strongly Agree,7,,Disagree,7,Too many ways to shift income. If the rate becomes very high labor supply will probably fall.  Everyone will have to pay to cut the deficits
Klenow,Peter,Agree,7,"Forecasting the forecast of others (Chetty, Saez, ...).",Strongly Disagree,7,"Doesn't look close according to these calculations (see link).
"
Lazear,Edward,Agree,8,"Revenue would rise, but the important question is what happens to growth, not revenue. The goal is not to maximize the size of government.",Disagree,8,"Using the President's numbers, the gaps are too big, more so if we go beyond 10 years. Scoring of tax increase do not show big deficit cuts."
Levin,Jonathan,Agree,6,"Saez puts top of the Laffer curve above 60%, suggesting we're well to the left.",Strongly Disagree,7,How could this be? CBO projects $1tr annual deficits. Annual income tax revenues from $500+k earners are now $350bn. We're going to 3x this?
Maskin,Eric,Agree,8,,No Opinion,,I don’t know the numbers well enough to say.
Nordhaus,William,Strongly Agree,8,Weight of evidence on personal tax rate with some reservations about other (state and local) taxes and other interactions.,Disagree,8,"Close call. With 10 yr CBO baseline def of $6 tr, indiv inc taxes of $19 tr, top 1% pays 40% of that, 50% rate. If really ""purely,"" then no."
Obstfeld,Maurice,Strongly Agree,7,It is doubtful such a small tax increase would materially affect behavior.,Disagree,7,The budget shortfalls are too large to be covered on this income tax base. Both tax and entitlement reform will be needed. 
Rouse,Cecilia,Agree,6,,Uncertain,6,
Saez,Emmanuel,Strongly Agree,10,"Based on best estimates and even with current tax code, US top rate is still significantly below revenue maximizing tax rate",Disagree,9,Enough income at top to cut deficit by 50%+ but need to go after it after base broadening not solely by increasing current ordinary top rate
Scheinkman,José,Strongly Agree,6,,Disagree,4,
Schmalensee,Richard,Agree,4,,Strongly Disagree,4,
Shin,Hyun Song,Agree,7,,Disagree,7,
Stock,James,Agree,4,,Disagree,4,
Stokey,Nancy,Strongly Agree,9,"There is a Laffer Curve, but 35% is to the left of the peak.  ",Strongly Disagree,8,"The top bracket is a very small group.  Maybe with the top 10% of the income distribution.  But how are we defining ""budget shortfalls""?"
Thaler,Richard,Strongly Agree,8,The Laffer curve should have stayed on the napkin.,Disagree,7,Only a small part of the puzzle.  Tax reform anyone?
Udry,Christopher,Strongly Agree,9,,Agree,6,
Zingales,Luigi,Strongly Agree,8,The negative effect on growth would have to be huge to offset the tax revenues raised. ,Strongly Disagree,10,cumulative deficit is 10 trillion.  taxable  income at the 35%   600 billions. to halve the deficit you will need 100% tax rate. Impossible
