Last Name,First Name,"Matching US import tariffs to the tariffs, value-added taxes and non-tariff barriers imposed on US goods by other countries would substantially reduce the US trade deficit.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The threat of retaliation against the imposition of higher tariffs on a country’s exports substantially lowers the probability of a trade war.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In the event that the threat of retaliation does not deter the imposition of tariffs, the economies of countries subject to higher tariffs on their exports would be measurably better off by responding with targeted tariffs on imports from the first mover.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Kashyap,Anil,Disagree,7,,Uncertain,3,Too many other factors to make a blanket prediction ,Uncertain,5,Raises the domestic inflation and so could limit the central bank's ability to offset the initial hit to income from the first mover.  
Klenow,Pete,Disagree,5,,Agree,3,,Uncertain,3,Depends on if it hastens an end to the trade war.
Levin,Jonathan,Agree,3,,Agree,3,,Agree,4,
Maskin,Eric,Disagree,4,"My understanding is that US tariffs (pre-Trump) do not differ greatly from those imposed by other countries against the US. So, such a policy change would have little effect.",Uncertain,4,"It is hard to tell how much the Trump tariffs and other countries' reaction to them are motivated by economic reasoning. And, if economics is not are the forefront, then it's difficult to gauge how likely a trade war is.",Agree,4,"If there have to be tariffs, better that they should be narrowly focused."
Nordhaus,William,Strongly Disagree,7,,Agree,5,,Agree,5,
Obstfeld,Maurice,Strongly Disagree,9,,Uncertain,9,Depends on credibility of the threat and the importance of the trade partner as an export destination. ,Agree,8,"Targeted means less harmful for the retaliating country, more painful for its trade-war adversary, and can be beneficial if they bring the trade war to an end."
Pathak,Parag,Disagree,4,,Disagree,4,,Disagree,5,
Samuelson,Larry,Uncertain,1,"The direct effect is likely be to reduce imports, but there are too many moving parts, endogenous reactions, and general equilibrium effects to be confident of the net effect.",Disagree,8,"This was once the conventional wisdom, but current US policy reflects no inhibitions in starting trade wars.",Uncertain,1,"Again the direct effect is clear, and as stated in the question, but there are too many knock-on effects to be sure of the net outcome."
Scheinkman,José,Uncertain,8,"Note first that it takes enormous economic illiteracy, or perhaps acute dyscalculia, to believe that value-added taxes distort trade.   If tariffs are high enough, the budget deficit could diminish substantially, in part because the ensuing recession would depress the deficit. ",Agree,7,,Agree,6,"In static analysis, countries would be better off by not retaliating, but dynamically, this could invite further tariffs in a country's exports. So the best strategy is to choose carefully the products to use  when retaliating, to establish a reputation. "
Schmalensee,Richard,Strongly Disagree,7,,Strongly Disagree,8,"We are living a counterexample. Canada, China, and Mexico threatened to retaliate, but that did not deter Trump. It might have deterred a rational actor.",Uncertain,5,
Scott Morton,Fiona,Disagree,7,,Strongly Agree,8,Answer is specific to the current president,Disagree,7,
Shapiro,Carl,Uncertain,3,,Uncertain,8,,Uncertain,7,
Shimer,Robert,Uncertain,5,"If the policy is expected to be temporary, then I would expect this is true. For permanent policies, high tariffs are will reduce trade but may not impact trade balance due to movements in exchange rates.",Disagree,5,"A trade war by definition involves one country raising tariffs and other countries retaliating with higher tariffs. Without retaliation, there it isn't a trade war. So while threatening retaliation may avoid the initial tariff increase, it has to raise the risk of a trade war",Uncertain,1,"The best argument for implementing retaliatory tariffs is that they will lead to a bilateral reduction in tariffs, which would make both countries better off. If this fails, then retaliatory tariffs are unlikely in practice to be beneficial to either country."
Stock,James,Disagree,6,,Agree,3,,Disagree,3,
Stokey,Nancy,No Opinion,,,Uncertain,1,Current trade wars seem to have more to do with the personalities of the politicians involved. ,Uncertain,1,"It's hard to see exactly what this question is asking.  Is there a well-reasoned, empirically robust model of how trade wars evolve?"
Syverson,Chad,Uncertain,5,It will reduce the total amount of trade; unclear what it does to the difference between flows in each direction,Uncertain,5,MAD theory requires rational actors. Not clear all actors here are rational. In fact it is clear they all are not.,Uncertain,8,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Strongly Disagree,8,,Uncertain,4,,Strongly Disagree,8,"In almost all cases, retaliation will make the retaliator worse off (although this applies to the people, not the leadership. Perhaps the leadership gets a rush from being in a fight)."
Werning,Ivan,Strongly Disagree,10,Economic theory explains trade deficits mainly from savings decisions not directly affected by permanent tariffs (temporary tariffs that are expected to revert could lower deficits temporarily). Basic empirical evidence is supportive of these conclusions.,Uncertain,10,"In standard trade theory, tariffs are unilaterally optimal for large countries to manipulate world prices in their favor. Retaliation changes this calculus, lowering the incentive to raise tariffs. But policy makers may have additional motives or think tariffs work differently,",Agree,9,"Absent deterrence (+ further retaliation from 1st mover), countries can choose optimal tariffs unilaterally optimally. By standard arguments, as long as they are not price takers, a positive tariff is optimal. For many countries this tariff and benefit is likely small, however."
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
