Last Name,First Name,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,5,,Agree,8,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Agree,7,"probably not by much given the magnitude of the new flow vs size of existing stock but directionally, yes",Strongly Agree,10,"see under 'History, American'",,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,5,,Agree,2,,,,,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,7,"This seems very likely. The immigrants are chiefly substitutes for the US scientists. However, some might be complements, offsetting this.",Agree,7,A simple free trade argument suggest that the U.S. would gain overall. The problem is that there may be losers as well as winners.,,,,,,,,,,,,,,,,,
Holmström,Bengt,Uncertain,8,"Scientists could be complements or substitutes
",Strongly Agree,7,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Agree,10,,Uncertain,10,Statement requires certain complementarities on which evidence is so far from strong & precise that certainty would be silly.,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Disagree,8,Any effect would be tiny at any politically feasible level of such immigration.,Strongly Agree,8,"Complementarities with other factors, including labor, imply that they would see demand increase.",,,,,,,,,,,,,,,,,
Kaplan,Steven,Uncertain,3,"More immigrants exert downward pressure, but create more jobs that create upward pressure.  ",Strongly Agree,10,"More highly skilled immigrants here, more jobs here, more income here, generate more jobs in services and more innovation.",,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,3,,Strongly Agree,7,,,,,,,,,,,,,,,,,,
Klenow,Pete,Uncertain,4,,Strongly Agree,1,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Uncertain,4,,Agree,4,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,Agree,6,,,,,,,,,,,,,,,,,,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,4,,Strongly Agree,5,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,5,"One would expect a temporary decrease in the premium, but it is not obvious that the effect would be significant or long-lasting.",Strongly Agree,8,The ability to bring the best and the brightest from throughout the world to our economy is a great resource.,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,6,,Agree,9,Disclosure: I benefited  from a policy that allowed Universities to hire foreign nationals with advanced degrees to their faculty.  ,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,8,,Agree,8,,,,,,,,,,,,,,,,,,
Shimer,Robert,Uncertain,1,"Obvious effects by shifting supply; however, this will also affect where production takes place, so demand shifts as well",Agree,7,"Most other workers are complements to those with advanced degrees, hence this will raise the demand for their skills",,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,3,Quarterly question aimed at weeding out respondents who are asleep or don't believe in supply and demand. Or course magnitudes unknown.,Strongly Agree,6,Clearly high skill labor increases economic growth though not equally.  ,,,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,8,"""Temporary"" is key. Hard to see anything else in the short run. But long run effects could be positive even for these workers.",Strongly Agree,8,,,,,,,,,,,,,,,,,,
