Last Name,First Name,Clearing the market for surgical face masks using prices is detrimental to the public good.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Laws to prevent high prices for essential goods in short supply in a crisis would raise social welfare.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Governments should buy essential medical supplies at what would have been the market price and redistribute according to need rather than ability to pay.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Levin,Jonathan,Disagree,3,,Disagree,5,"Sometimes beneficial to protect consumers from sudden price increases, but we need production and innovation which high prices encourage.",Agree,4,"Yes, government may be natural purchaser in some cases, e.g. on behalf of hospitals serving low-income populations."
Maskin,Eric,Disagree,7,,Disagree,7,Such laws would discourage supply. Better for government to buy at market price and distribute at lower prices. See URL for question 1 ,Agree,7,This assumes that government can determine need
Nordhaus,William,No Opinion,,,Disagree,3,Too vague to be useful.,No Opinion,,
Obstfeld,Maurice,Disagree,5,,Disagree,6,,Agree,5,
Saez,Emmanuel,Agree,6,"With supply fixed in short run, markets don't work well (poor states can't get equipment). Need federal coordination for supply and distrib",Uncertain,6,"Just preventing high prices is not the solution, need centralized government to organize supply and distribution (just like war equipment)",Agree,7,Yes and Fed govt also needs to help increase supply by paying suppliers with fair prices based on production costs + reasonable bonus
Samuelson,Larry,Agree,8,Coupling pre-crisis prices with an effective centralized allocation scheme would be more efficient and better for morale.,Agree,8,"To raise social welfare, such laws must be complemented by a effective, coordinated allocation scheme.  ",Agree,8,Effective government policy of this type would yield efficient economic outcomes and better health outcomes.  
Scheinkman,José,Agree,8,Use of masks benefits others and policies should combine penalties for non-use and subsidies for purchase. ,Uncertain,7,It depends on supply elasticity.,Agree,7,"""what would have been the market price"" must consider the pandemic and supply elasticities; could be much higher than pre-pandemic prices."
Schmalensee,Richard,Strongly Agree,9,This neglects very important externalities: a mask is more valuable in the hands of a first-responder than in the hands of a rich recluse.,Disagree,7,"For most goods, like snow shovels, externalities are not important.  Non-price allocation methods are not generally ethically superior. ",Uncertain,6,"This might solve the externality problem, depending on how ""need"" is defined, but it would blunt incentives to produce."
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Strongly Disagree,8,This crisis has reinforced the importance of prices for rationing demand and increasing supply,Strongly Disagree,10,Such laws encourage hoarding and black markets,Uncertain,1,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Agree,5,Public good not the same as WTP. ,Uncertain,1,Not clear we need laws. The public usually enforces the laws of fairness without legal action. ,Uncertain,1, You can't trust this government to do anything. 
Udry,Christopher,Agree,7,"There is a strong positive externality, indeed it is almost all externality. But need to ensure supply and quality too.",Uncertain,3,This depends on the implementation. A bad law could be a crude and ineffective tool.,Agree,6,"Again, the details matter. Different approaches best for masks, vaccinations, tests, drugs for treatment."
