Last Name,First Name,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Hansen,Lars,Disagree,8, Negative externalities inflicted by corporate activity are best handled with well designed legal structures and Piguovian taxation.  ,Uncertain,8,Some corporations are poorly managed.  But I fail to see an alternative that dominates without confronting tradeoffs among stakeholders.  ,Disagree,8,The term ``balance’’ is not operational without resolving tradeoffs among stake holders in arbitrary and potentially harmful ways.  
Harvey,Campbell,Strongly Disagree,9,"Did you mean ""statistically"" significant? Using the word 'significant', influences the response. ",Uncertain,5,,Disagree,8,
Hirshleifer,David,Disagree,7,Thriving and competitive businesses probably tends to generate positive externalities for the community.,Strongly Disagree,8,A target of serving a range of stakeholders gives managers license to pursue their own preferences and self-interest.,Disagree,7,
Hong,Harrison,Agree,9,"Workers are affected by externalities from firm production such as carbon emissions, which lead to global warming and extreme weather.",Strongly Disagree,9,"Externalities such as global warming are costly to address, and require carbon taxes or sustainable finance mandates which cost shareholders",Disagree,6,"Unclear if boards are meant to replace regulation, taxes or other forms of external market signals."
Jiang,Wei,Disagree,8,"Shareholder value, unlike stock price, is a long-term concept that incorporates all constituencies that are important to business success.  ",Agree,8,"If office temperature could dial up five degrees in summer, everybody--workers, shareholders, and Planet--is better off.  Just an example.",Disagree,8,
Kaplan,Steven,Disagree,10,,Strongly Disagree,10,"There is no reason to think that firms are as inefficient as an affirmative answer would imply.
",Strongly Disagree,7,
Kashyap,Anil,Disagree,3,"sometimes, but doubtful that this is pervasive 
",Disagree,3,,Strongly Disagree,5,"it is a hornet's nest
"
Koijen,Ralph,Agree,3,,Disagree,5,,Disagree,5,
Kuhnen,Camelia,Disagree,8,"If the regulatory environment penalizes eggregious negative firm externalities, firms can maximize shareholder value without hurting others.",Uncertain,8,There are trade-offs when trying to please several types of stakeholders.  ,Strongly Disagree,9,Corporate governance is hard to do even when the objective is simple (maximize share price). Not to mention when the objective is complex.
Lo,Andrew,Disagree,10,,Agree,10,,Disagree,10,
Lowry,Michelle,Agree,7,"This is the motivation for regulation, including regulation related to labor, the environment, and antitrust",Strongly Agree,7,,Disagree,1,
Ludvigson,Sydney,Agree,8,Redistributive shocks matter. They have persistently redistributed rewards to shareholders and away from workers in the last 30-40 years,Uncertain,6,"Boards could probably maximize value for a wider range of stakeholders, but not enough evidence to know how this would affected shareholders",Uncertain,8,Not aware of many good examples of this
Maggiori,Matteo,Agree,10,,Agree,8,,Disagree,10,"This is a complex problem theoretically, with in practice many political and practical implementation limitations. Not straightforward."
Matvos,Gregor,Uncertain,8,"Depends on context. Ex. with poor environmental regulation, a profit maximizing company will pollute. With effective regulation, it won’t.",Disagree,6,"Companies benefit from a pro-stakeholder reputation. If such actions have  negligible cost to shareholders, they want to implement them.",Disagree,8,"Mechanisms for boards of directors can struggle to balance shareholder interests, whose goals are much more aligned than stakeholders’"
Moskowitz,Tobias,Disagree,5,"It's not clear theoretically that ""significant negative externalities"" would be created and I'm not aware of strong empirical work showing.",Disagree,7,Hard to imagine creating significant additional value for stakeholders without significant drop in share value.,Disagree,2,Very hard to answer this question without having more evidence on the first two questions and how value is created for other stakeholders.
Nagel,Stefan,Strongly Agree,9,"There is no reason why shareholder max. should lead firms to internalize these externalities (unless, e.g., incentivized by regulation). ",Disagree,5,Seems unlikely to be possible without some cost for shareholders,Uncertain,3,
Parker,Jonathan,Uncertain,4,"Profit maximization leads to productivity and economic growth but also, absent enforcement, to less competition and more carbon emissions.",Strongly Disagree,7,"Corporate management is responding well to the legal environment that makes it profitable to act non-competitively, to pollute, etc.",Strongly Disagree,8,There is no simple way to entirely change corporate governance.  It would be a mess like Brexit.
Parlour,Christine,Uncertain,8,"It depends on the industry.  Some generate negative externalities (social and environmental), while others generate large consumer benefits.",Disagree,7,Changing inefficient companies can increase value to various stakeholders. Changing efficient companies just moves value among groups. ,Strongly Disagree,9,Incentives are agreed on before complex situations arise. Balancing all possible interests and future events is almost impossible. 
Philippon,Thomas,Agree,8,"Unless government taxes/subsidies perfectly cancel all externalities, including market power, maximizing SV is not socially optimal.",Uncertain,3,"Maximizing SV is unlikely to be first best, but interventions, except pro-competition ones, are likely to create significant costs as well.",Disagree,8,"They may be feasible, they are certainly not easy to implement."
Puri,Manju,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Roberts,Michael,Uncertain,8,"Weakly agree. Maximizing shareholder value can create negative externalities for other stakeholders, but the effects are heterogeneous.",Uncertain,8,"What exactly does ""appropriately managed"" mean and who decides? ",Disagree,8,Challenging to ensure managers are aligned with shareholders. Adding additional interests will likely complicate matters even if worthwhile.
Sapienza,Paola,Disagree,7,"Certain companies generate very negative externalities, but the statement is not valid in general",Agree,8,"general statement, it does not apply to firms creating large externalities (e.g polluters), which are not the majority of firms ",Disagree,7,"When the conflict between shareholder maximization and societal goals emerge, the board should not choose, better to let society regulate"
Seru,Amit,Uncertain,9,Depends,Strongly Disagree,9,"Unlikely, unless one believes host of firms are poorly governed.",Strongly Disagree,7,
Stambaugh,Robert,Uncertain,7,Depends on the regulatory environment in which companies maximize shareholder value.,Disagree,8,,Disagree,8,
Starks,Laura,Disagree,7,,Uncertain,4,It is not clear that it would be negligible costs. Also I would somewhat agree with the statement but that wasn't an option. ,Disagree,6,Boards have many mechanisms to provide incentives for CEOs but there exists a lot of uncertainty regarding their efficacy. 
Stein,Jeremy,Agree,8,,Disagree,7,,Disagree,8,
Stroebel,Johannes,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stulz,Rene,Disagree,10,Shareholder wealth maximization can make both workers and communities better off. Neither workers nor communities benefit from failing firms,Disagree,10,,Disagree,8,I am not convinced that the mechanisms proposed so far would work.  
Sufi,Amir,Uncertain,5,"There are examples in which shareholder maximization has led to negative externalities, but hard to argue this is a rule.",Uncertain,5,"Again, hard to state this as a rule. There are certainly firms for which the statement could be true.",Uncertain,5,
Titman,Sheridan,Disagree,10,"There are clearly instances where their are externalities associated with corporate actions, but this is not the general rule",Disagree,10,There are always tradeoffs,Strongly Disagree,10,
Van Nieuwerburgh,Stijn,Agree,6,Climate externalities are good example of something shareholder value maximization typically ignores. Short-termism of shareholders another.,Agree,6,"Good management focused on the long-run health and well-being of the company, its employees, and its community attracts the best resources.",Disagree,6,"Boards are imperfect governance devices, often co-opted and controlled by senior management. "
Werner,Ingrid,Disagree,8,,Agree,8,,Uncertain,8,
Whited,Toni,Agree,6,,Disagree,6,,Uncertain,1,
