Last Name,First Name,Missing payments on the US Treasury security obligations for several weeks would pose a substantial risk of a global financial crisis.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The requirement to periodically increase the debt ceiling measurably reduces the long-run size of the debt.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Maggiori,Matteo,Uncertain,2,"It would certainly not be a positive event, but the details would matter. It mostly would introduce an ""incompetence risk premium"" into Treasuries by making it clear that the political system is now so dysfunctional that even the federal debt repayment can be used for bargaining",Strongly Disagree,8,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Did Not Answer,,,Did Not Answer,,
Nagel,Stefan,Agree,5,"Given the role of Treasurys as default-free benchmark in global financial markets, there is a risk of major disruptions (or, possibly, large Federal Reserve interventions to prevent disruptions).  ",Disagree,1,
Parker,Jonathan,Agree,6,"A several week ""technical default"" by the US could lead to a significant decline in the demand for Treasury debt over years. Markets, anticipating this shift, could cause a large increase in US interest rates and crash in the dollar, which could cause a financial crisis. ",Strongly Disagree,8,"Historically, the debt ceiling has been raised each time we have hit it. It is hard to believe debt to GDP could have risen even more rapidly. And there are technical work-arounds (that we may yet use) that can allow debt to be issued without increasing its face value."
Parlour,Christine,Uncertain,6,,Strongly Disagree,1,
Philippon,Thomas,Agree,8,,Uncertain,5,
Puri,Manju,Agree,5,,Uncertain,5,
Roberts,Michael,Agree,7,"Financial crisis whose depths would depend on the details and potential resolution of the default, but serious nonetheless.",Disagree,7,
Sapienza,Paola,Uncertain,1,There will be major consequences but not sure a full blown financial crisis,Disagree,4,Hard to test it empirically but it does not look like
Seru,Amit,Uncertain,5,,Agree,5,
Stambaugh,Robert,Agree,6,,Disagree,8,
Starks,Laura,Agree,5,"The uncertainty surrounding the missed payments and any resultant effects will depend on a number of factors, most particularly, how investors think about the missed payments and the reputation of the safety of U.S. Treasury obligations.",Disagree,5,
Stein,Jeremy,Agree,7,,Strongly Disagree,8,
Stroebel,Johannes,Agree,5,,Uncertain,1,
Sufi,Amir,Agree,8,"It would definitely be bad for the US in its role as the provider of a safe reserve currency, but the exact way in which it could cause a global financial crisis is harder to assess. The 2011 situation offers a guideline, although debt limit there wasn't hit.",Uncertain,8,
Titman,Sheridan,Agree,6,I'm not convinced that a delay in making debt payments will have a substantial effect but there is a risk and its a very bad idea.,Disagree,5,
Van Nieuwerburgh,Stijn,Agree,6,"If the U.S. defaults with no quick resolution in sight, it may prove to be a turning point in which it loses its status as the global safe haven currency. What comes next is hard to predict since there is no natural alternate safe haven currency. A financial crisis  may ensue.",Disagree,7,The debt ceiling has been turned into a political weapon that substitutes for sound budgetary policymaking. It risks eroding the convience yields that the US has benefited from for decades and that would be very unhelpful to lose right now with debt/GDP near 100%.
Werner,Ingrid,Uncertain,8,,Uncertain,8,
Whited,Toni,Strongly Agree,9,,Strongly Disagree,8,
